"Calories","Total_Fat","Sodium","Carbohydrates","Sugars","Protein","Id","Vitamin_A_re_DV","Vitamin_C_mg_DV","Dietary_Fibre_g","Calcium_mg_DV","Iron_mg_DV"
270.0,9.0,115.0,40.0,38.0,9.0,152.0,80.0,0.0,0.75,330.0,0.0
340.0,10.0,140.0,50.0,48.0,11.0,153.0,100.0,0.0,1.0,385.0,0.0
430.0,14.0,180.0,62.0,59.0,15.0,154.0,150.0,0.0,1.5,550.0,0.36
270.0,9.0,115.0,40.0,38.0,9.0,155.0,80.0,0.0,0.75,330.0,0.0
330.0,10.0,140.0,50.0,47.0,11.0,156.0,100.0,0.0,1.0,385.0,0.0
430.0,14.0,180.0,62.0,58.0,15.0,157.0,150.0,0.0,1.5,550.0,0.36
260.0,9.0,115.0,38.0,36.0,9.0,158.0,80.0,0.0,0.75,330.0,0.0
330.0,10.0,140.0,48.0,45.0,11.0,159.0,100.0,0.0,1.0,385.0,0.36
420.0,14.0,190.0,60.0,56.0,15.0,160.0,150.0,0.0,1.5,550.0,0.36
210.0,9.0,150.0,24.0,12.0,9.0,161.0,80.0,0.0,1.0,330.0,0.0
260.0,10.0,190.0,29.0,15.0,12.0,162.0,100.0,0.0,1.25,385.0,0.0
330.0,14.0,240.0,37.0,20.0,15.0,163.0,150.0,0.0,1.75,550.0,0.36
100.0,0.0,110.0,15.0,13.0,10.0,164.0,100.0,0.0,0.75,330.0,0.0
130.0,0.0,135.0,19.0,16.0,12.0,165.0,150.0,0.0,1.0,440.0,0.0
170.0,0.5,180.0,25.0,21.0,16.0,166.0,150.0,0.0,1.5,550.0,0.36
200.0,0.0,110.0,41.0,39.0,10.0,167.0,100.0,0.0,0.75,330.0,0.0
250.0,0.0,135.0,51.0,48.0,12.0,168.0,150.0,0.0,1.0,440.0,0.0
310.0,0.5,180.0,63.0,59.0,16.0,169.0,150.0,0.0,1.5,550.0,0.36
200.0,0.0,110.0,40.0,38.0,10.0,170.0,100.0,0.0,0.75,330.0,0.0
250.0,0.0,135.0,51.0,48.0,12.0,171.0,150.0,0.0,1.0,440.0,0.0
310.0,0.5,180.0,63.0,59.0,16.0,172.0,150.0,0.0,1.5,550.0,0.36
190.0,0.0,115.0,39.0,37.0,10.0,173.0,100.0,0.0,0.75,330.0,0.0
240.0,0.0,140.0,49.0,46.0,12.0,174.0,150.0,0.0,1.0,440.0,0.36
300.0,0.5,180.0,60.0,56.0,16.0,175.0,150.0,0.0,1.5,550.0,0.36
140.0,0.0,150.0,24.0,13.0,10.0,176.0,100.0,0.0,1.0,330.0,0.0
170.0,0.0,180.0,30.0,16.0,12.0,177.0,150.0,0.0,1.25,440.0,0.0
220.0,0.5,240.0,38.0,21.0,16.0,178.0,150.0,0.0,1.75,550.0,0.36
340.0,11.0,150.0,49.0,42.0,10.0,179.0,100.0,0.0,1.5,330.0,1.08
410.0,14.0,190.0,60.0,53.0,13.0,180.0,100.0,0.0,2.0,440.0,1.08
500.0,17.0,240.0,72.0,63.0,16.0,181.0,150.0,0.0,2.5,550.0,1.44
270.0,3.5,150.0,49.0,43.0,11.0,182.0,100.0,0.0,1.5,385.0,1.08
330.0,3.5,190.0,60.0,53.0,13.0,183.0,150.0,0.0,2.0,440.0,1.08
390.0,4.0,240.0,73.0,64.0,17.0,184.0,200.0,0.0,2.5,550.0,1.44
320.0,11.0,170.0,45.0,40.0,10.0,185.0,100.0,0.0,0.75,330.0,0.36
390.0,14.0,220.0,55.0,50.0,12.0,186.0,150.0,0.0,1.0,440.0,0.36
480.0,17.0,270.0,66.0,60.0,16.0,187.0,150.0,0.0,1.25,550.0,0.72
250.0,3.5,170.0,45.0,41.0,10.0,188.0,100.0,0.0,0.75,385.0,0.36
310.0,3.5,210.0,56.0,51.0,13.0,189.0,150.0,0.0,1.0,440.0,0.36
370.0,3.5,270.0,67.0,61.0,17.0,190.0,200.0,0.0,1.25,550.0,0.72
360.0,13.0,180.0,50.0,45.0,11.0,191.0,100.0,0.0,0.75,440.0,1.08
440.0,16.0,220.0,61.0,56.0,14.0,192.0,150.0,0.0,1.0,495.0,1.08
540.0,20.0,280.0,73.0,68.0,17.0,193.0,200.0,0.0,1.25,660.0,1.44
280.0,3.5,180.0,50.0,46.0,12.0,194.0,150.0,0.0,0.75,440.0,1.08
340.0,3.5,220.0,61.0,57.0,14.0,195.0,200.0,0.0,1.0,550.0,1.08
400.0,3.5,280.0,74.0,69.0,19.0,196.0,250.0,0.0,1.25,660.0,1.44
140.0,4.5,35.0,23.0,22.0,1.0,197.0,40.0,0.0,0.0,44.0,0.0
190.0,7.0,50.0,31.0,30.0,1.0,198.0,40.0,0.0,0.0,44.0,0.0
270.0,9.0,75.0,47.0,45.0,2.0,199.0,60.0,0.0,0.0,88.0,0.0
130.0,4.5,35.0,22.0,21.0,1.0,200.0,40.0,0.0,0.0,44.0,0.0
180.0,7.0,50.0,29.0,28.0,1.0,201.0,40.0,0.0,0.0,44.0,0.0
260.0,9.0,65.0,43.0,42.0,2.0,202.0,60.0,0.0,0.0,66.0,0.0
130.0,4.5,35.0,21.0,20.0,1.0,203.0,40.0,0.0,0.0,44.0,0.0
180.0,7.0,50.0,29.0,28.0,1.0,204.0,40.0,0.0,0.0,44.0,0.0
250.0,9.0,75.0,43.0,41.0,2.0,205.0,60.0,0.0,0.0,88.0,0.0
120.0,4.5,40.0,20.0,19.0,1.0,206.0,40.0,0.0,0.0,44.0,0.0
170.0,7.0,55.0,27.0,26.0,1.0,207.0,40.0,0.0,0.0,44.0,0.0
240.0,9.0,80.0,41.0,39.0,2.0,208.0,60.0,0.0,0.0,88.0,0.0
80.0,4.5,65.0,9.0,1.0,1.0,209.0,40.0,0.0,0.0,44.0,0.0
120.0,7.0,90.0,12.0,2.0,1.0,210.0,40.0,0.0,0.0,44.0,0.0
160.0,9.0,135.0,18.0,2.0,2.0,211.0,60.0,0.0,0.0,88.0,0.0
290.0,11.0,125.0,41.0,34.0,8.0,212.0,100.0,0.0,1.0,275.0,0.72
350.0,13.0,150.0,50.0,43.0,9.0,213.0,100.0,0.0,1.25,330.0,1.08
480.0,16.0,220.0,70.0,62.0,14.0,214.0,150.0,0.0,2.0,440.0,1.44
240.0,5.0,125.0,41.0,35.0,8.0,215.0,100.0,0.0,1.0,275.0,0.72
290.0,5.0,150.0,50.0,43.0,10.0,216.0,150.0,0.0,1.25,330.0,1.08
390.0,6.0,220.0,71.0,62.0,14.0,217.0,200.0,0.0,2.0,495.0,1.44
280.0,11.0,140.0,38.0,33.0,8.0,218.0,100.0,0.0,0.0,275.0,0.36
340.0,13.0,170.0,46.0,41.0,9.0,219.0,100.0,0.0,0.5,330.0,0.36
460.0,16.0,250.0,65.0,59.0,13.0,220.0,150.0,0.0,0.75,440.0,0.72
230.0,5.0,140.0,38.0,33.0,8.0,221.0,100.0,0.0,0.0,275.0,0.36
270.0,5.0,170.0,47.0,41.0,10.0,222.0,150.0,0.0,0.5,330.0,0.36
370.0,6.0,250.0,65.0,59.0,14.0,223.0,200.0,0.0,0.75,495.0,0.72
450.0,18.0,125.0,65.0,57.0,7.0,224.0,150.0,0.0,0.75,220.0,0.72
550.0,22.0,160.0,80.0,71.0,9.0,225.0,150.0,0.0,1.0,275.0,0.72
670.0,26.0,190.0,98.0,88.0,11.0,226.0,200.0,0.0,1.0,385.0,0.72
450.0,19.0,125.0,64.0,57.0,7.0,227.0,150.0,0.0,0.0,275.0,0.36
550.0,23.0,160.0,79.0,71.0,9.0,228.0,200.0,0.0,0.0,330.0,0.36
670.0,27.0,190.0,96.0,88.0,11.0,229.0,200.0,0.0,0.0,385.0,0.36
530.0,23.0,135.0,76.0,67.0,8.0,230.0,150.0,0.0,1.25,275.0,0.72
630.0,26.0,160.0,91.0,81.0,9.0,231.0,150.0,0.0,1.25,330.0,0.72
760.0,31.0,200.0,111.0,99.0,12.0,232.0,200.0,0.0,1.25,385.0,1.08
220.0,0.5,40.0,50.0,44.0,2.0,233.0,0.0,1.2,3.0,66.0,0.36
260.0,1.0,50.0,62.0,54.0,3.0,234.0,0.0,2.4,3.75,88.0,0.36
340.0,1.0,65.0,79.0,70.0,4.0,235.0,0.0,2.4,4.75,110.0,0.36
210.0,0.5,50.0,47.0,44.0,3.0,236.0,0.0,18.0,2.5,88.0,0.36
250.0,1.0,60.0,58.0,54.0,4.0,237.0,0.0,21.0,3.25,88.0,0.72
330.0,1.0,80.0,74.0,70.0,5.0,238.0,0.0,27.0,4.0,110.0,0.72
210.0,0.5,40.0,50.0,46.0,2.0,239.0,300.0,12.0,1.0,88.0,0.36
260.0,1.0,45.0,61.0,56.0,3.0,240.0,400.0,15.0,1.25,88.0,0.36
340.0,1.0,60.0,78.0,72.0,4.0,241.0,500.0,18.0,1.5,110.0,0.36
530.0,15.0,160.0,86.0,63.0,11.0,242.0,200.0,0.0,0.0,440.0,0.0
